MAC,SOC,Speed,DisplaySpeed,Odometer
EC:64:C9:91:B2:90,27,82.0,80.0,3500.0
EC:64:C9:91:B2:90,50,82.0,80.0,3500.0
EC:64:C9:91:B2:90,100,82.0,80.0,3500.0
EC:64:C9:91:B2:90,57,82.0,80.0,3500.0
EC:64:C9:91:B2:90,38,82.0,80.0,3500.0
EC:64:C9:91:B2:90,95,82.0,80.0,3500.0
EC:64:C9:91:B2:90,58,82.0,80.0,3500.0
EC:64:C9:91:B2:90,44,82.0,80.0,3500.0
EC:64:C9:91:B2:90,34,82.0,80.0,3500.0
EC:64:C9:91:B2:90,41,82.0,80.0,3500.0
EC:64:C9:91:B2:90,41,82.0,80.0,3500.0
EC:64:C9:91:B2:90,82,82.0,80.0,3500.0
EC:64:C9:91:B2:90,39,82.0,80.0,3500.0
EC:64:C9:91:B2:90,37,82.0,80.0,3500.0
EC:64:C9:91:B2:90,94,82.0,80.0,3500.0
EC:64:C9:91:B2:90,91,82.0,80.0,3500.0
EC:64:C9:91:B2:90,93,82.0,80.0,3500.0
EC:64:C9:91:B2:90,99,82.0,80.0,3500.0
EC:64:C9:91:B2:90,80,82.0,80.0,3500.0
EC:64:C9:91:B2:90,41,82.0,80.0,3500.0
EC:64:C9:91:B2:90,44,82.0,80.0,3500.0
EC:64:C9:91:B2:90,93,82.0,80.0,3500.0
EC:64:C9:91:B2:90,59,82.0,80.0,3500.0
EC:64:C9:91:B2:90,25,82.0,80.0,3500.0
EC:64:C9:91:B2:90,45,82.0,80.0,3500.0
EC:64:C9:91:B2:90,47,82.0,80.0,3500.0
EC:64:C9:91:B2:90,32,82.0,80.0,3500.0
EC:64:C9:91:B2:90,28,82.0,80.0,3500.0
EC:64:C9:91:B2:90,91,82.0,80.0,3500.0
EC:64:C9:91:B2:90,46,82.0,80.0,3500.0
EC:64:C9:91:B2:90,55,82.0,80.0,3500.0
EC:64:C9:91:B2:90,62,82.0,80.0,3500.0
EC:64:C9:91:B2:90,20,82.0,80.0,3500.0
