MAC,SOC,BatteryVoltage,BatteryCurrent,AvailableEnergy,ChargingStatus,Speed,Acceleration,Gear,BrakeStatus,Latitude,Longitude,Altitude,GPSValid,IsCharging,DesiredSOC,ReadyToCharge,Timestamp
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,57.0,7,N,0,33.900002,-6.888799,120.0,1,NO,80,NO,64336
EC:64:C9:91:B2:90,75,58.0,0.0,2.1,0x00,4.0,38,N,0,33.900002,-6.888799,120.0,1,NO,80,NO,66347
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,35.0,77,N,0,33.900002,-6.888799,120.0,1,NO,80,NO,68358
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,24.0,42,R,0,33.900002,-6.888799,120.0,1,NO,80,NO,70369
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,23.0,86,D,0,33.900002,-6.888799,120.0,1,NO,80,NO,72380
EC:64:C9:91:B2:90,75,58.0,0.0,2.1,0x00,9.0,84,D,0,33.900002,-6.888799,120.0,1,NO,80,NO,74391
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,59.0,46,N,0,33.900002,-6.888799,120.0,1,NO,80,NO,76402
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,50.0,26,N,0,33.900002,-6.888799,120.0,1,NO,80,NO,78413
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,31.0,39,D,0,33.900002,-6.888799,120.0,1,NO,80,NO,80424
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,23.0,14,R,0,33.900002,-6.888799,120.0,1,NO,80,NO,82435
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,21.0,39,D,0,33.900002,-6.888799,120.0,1,NO,80,NO,84446
EC:64:C9:91:B2:90,75,58.0,-1.5,2.1,0x00,20.0,27,N,0,33.900002,-6.888799,120.0,1,NO,80,NO,86457
