timestamp,latitude,longitude,altitude,speed_kmh,satellites,hdop,datetime,valid
1754477081.316604291,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.328461332,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.340460616,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.350612521,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.362196016,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.372717981,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.383611932,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.394760835,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477081.405637077,33.984112,-6.726937,144.7,23.4,9,1.03,2025-8-6,11
1754477084.694689156,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694722646,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694744730,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694948432,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694960775,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694969838,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694978745,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694987078,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477084.694995672,33.983997,-6.726807,145.1,15.7,9,1.14,2025-8-6,11
1754477087.315658199,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.326677985,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.337593186,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.348612296,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.359864743,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.370595670,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.381574153,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.392749099,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477087.403585653,33.983944,-6.726748,145.1,4.6,10,0.90,2025-8-6,11
1754477090.318657468,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.330156846,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.340730791,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.351563387,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.362555152,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.375609351,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.384566339,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.395620866,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477090.406558515,33.983913,-6.726717,144.7,6.8,10,0.90,2025-8-6,11
1754477093.323721261,33.983852,-6.726649,145.1,14.6,10,0.90,2025-8-6,11
1754477093.334709433,33.983852,-6.726649,145.1,14.6,10,0.90,2025-8-6,11
1754477093.346002766,33.983852,-6.726649,145.1,14.6,10,0.90,2025-8-6,11
1754477093.356736506,33.983852,-6.726649,145.1,14.6,10,0.90,2025-8-6,11
