timestamp,can_id,dlc,data_hex,data_bytes
1753366823.464573824,155,8,07 97 CD 54 70 70 00 6F,07 97 CD 54 70 70 00 6F
1753366823.516192521,155,8,07 97 CF 54 70 70 00 6F,07 97 CF 54 70 70 00 6F
1753366823.567481324,155,8,07 97 D1 54 70 70 00 6F,07 97 D1 54 70 70 00 6F
1753366823.617877209,155,8,07 97 D2 54 70 70 00 6F,07 97 D2 54 70 70 00 6F
1753366823.668812573,155,8,07 97 D2 54 70 70 00 6F,07 97 D2 54 70 70 00 6F
1753366823.719798615,19F,8,FF FF 7F BF 38 FF 40 FE,FF FF 7F BF 38 FF 40 FE
1753366823.770904344,19F,8,FF FF 7F AF 38 FF 40 FE,FF FF 7F AF 38 FF 40 FE
1753366823.821866011,5D7,7,01 D2 00 55 9C 80 00,01 D2 00 55 9C 80 00
1753366823.872515490,423,8,03 25 FF FF 00 E0 00 DE,03 25 FF FF 00 E0 00 DE
1753366823.923783198,5D7,7,01 C7 00 55 9C 80 00,01 C7 00 55 9C 80 00
1753366823.974122938,155,8,07 97 D1 54 70 70 00 6F,07 97 D1 54 70 70 00 6F
1753366824.025743719,599,8,00 00 0D B2 FF 1F 01 9A,00 00 0D B2 FF 1F 01 9A
1753366824.076602521,155,8,07 97 CF 54 70 70 00 6F,07 97 CF 54 70 70 00 6F
1753366824.127421063,599,8,00 00 0D B2 FF 1F 01 B0,00 00 0D B2 FF 1F 01 B0
1753366824.179052261,155,8,07 97 CA 54 70 70 00 6F,07 97 CA 54 70 70 00 6F
1753366824.230158563,19F,8,FF FF 80 1F 38 FF 40 FE,FF FF 80 1F 38 FF 40 FE
1753366824.281248719,19F,8,FF FF 7F 1F 38 FF 40 FE,FF FF 7F 1F 38 FF 40 FE
1753366824.331361844,436,6,00 00 01 40 00 00,00 00 01 40 00 00
1753366824.383166532,155,8,07 97 B1 54 70 70 00 6F,07 97 B1 54 70 70 00 6F
1753366824.433883146,155,8,07 97 A6 54 70 70 00 6F,07 97 A6 54 70 70 00 6F
1753366824.484325906,155,8,07 97 8A 54 70 70 00 6F,07 97 8A 54 70 70 00 6F
1753366824.535523823,155,8,07 97 7E 54 70 70 00 6F,07 97 7E 54 70 70 00 6F
1753366824.586844188,155,8,07 97 7C 54 70 70 00 6F,07 97 7C 54 70 70 00 6F
1753366824.637251427,155,8,07 97 74 54 70 70 00 6F,07 97 74 54 70 70 00 6F
1753366824.689184552,155,8,07 97 71 54 70 70 00 6F,07 97 71 54 70 70 00 6F
1753366824.739503458,19F,8,FF FF 7F EF 38 FF 40 FE,FF FF 7F EF 38 FF 40 FE
