timestamp,can_id,dlc,data_hex,data_bytes
1753367068.689983766,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367068.741446608,436,6,00 00 01 2B 00 00,00 00 01 2B 00 00
1753367068.791852916,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367068.843033460,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367068.893790193,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367068.944851203,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367068.995669291,423,8,03 2D FF FF 00 E0 00 E4,03 2D FF FF 00 E0 00 E4
1753367069.047217187,155,8,07 97 CC 54 74 B0 00 70,07 97 CC 54 74 B0 00 70
1753367069.098178872,155,8,07 97 CC 54 74 B0 00 70,07 97 CC 54 74 B0 00 70
1753367069.149486710,155,8,07 97 CC 54 74 B0 00 70,07 97 CC 54 74 B0 00 70
1753367069.200472719,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367069.250424903,59B,8,20 0C 64 00 44 71 00 90,20 0C 64 00 44 71 00 90
1753367069.302427808,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367069.353449651,59B,8,20 0C 64 00 44 71 00 90,20 0C 64 00 44 71 00 90
1753367069.404215915,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753367069.455217965,59B,8,20 0C 64 00 44 71 00 90,20 0C 64 00 44 71 00 90
1753367069.505795996,155,8,07 97 CD 54 74 B0 00 70,07 97 CD 54 74 B0 00 70
1753367069.557277796,155,8,07 97 CD 54 74 B0 00 70,07 97 CD 54 74 B0 00 70
1753367069.607707595,155,8,07 97 CD 54 74 B0 00 70,07 97 CD 54 74 B0 00 70
