timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,actual_speed,absolute_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1753367570.890116624,74,-0.5,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.5,28,57.5,4.5,0x2A,0,0.0
1753366459.431088702,0,0.0,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,0.0,0.0,0x00,0,0.0
1753366465.449001929,0,0.0,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,0.0,0.0,0x00,0,0.0
1753366471.467070677,0,0.0,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,0.0,0.0,0x00,0,0.0
1753366474.629048748,73,-0.8,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,0.0,0.0,0x00,0,0.0
1753366474.629048748,73,-0.8,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,0.0,0.0,0x00,0,0.0
1753366474.629048748,73,-0.8,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,57.5,4.4,0x2A,0,0.0
1753366474.629048748,73,-10.2,Neutral,1,0,0,56.5,1.7,0.0,0.0,3505.6,28,57.5,4.4,0x2A,0,0.0
1753366501.149185405,73,-1.2,Neutral,1,0,0,56.5,1.7,340.5,284.2,3505.6,28,57.5,4.4,0x2A,0,0.0
1753366507.320064100,73,-2.5,Reverse,1,55,0,56.0,1.7,0.0,0.0,3505.6,28,57.5,4.4,0x2A,0,0.0
1753366513.439075661,73,-1.2,Reverse,1,0,1,56.5,1.7,0.0,0.0,3505.6,28,57.5,4.4,0x2A,0,0.0
1753366519.049102794,73,-11.8,Drive,1,52,0,56.0,1.7,0.0,0.0,3505.6,28,57.5,4.4,0x2A,0,0.0
1753366522.669986386,73,0.2,Drive,1,31,0,56.5,5.2,622.1,23.1,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366531.544087424,73,-1.0,Drive,1,0,0,56.5,3.4,509.5,51.2,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366537.511087370,73,-0.8,Drive,1,0,0,56.5,1.7,0.0,51.2,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366543.427096639,73,-0.8,Drive,1,0,0,56.5,1.7,0.0,0.0,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366549.139111272,73,1.8,Drive,1,27,0,56.0,7.0,563.2,0.0,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366555.514010228,73,-40.5,Drive,1,69,0,56.0,5.2,79.4,279.1,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366561.532108611,73,-21.0,Drive,1,48,0,56.0,10.5,220.2,276.5,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366567.346030171,73,-75.5,Drive,1,66,0,55.5,15.8,133.2,217.6,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366573.517085533,73,16.8,Drive,1,0,1,56.5,14.0,69.2,358.5,3505.7,28,57.5,4.4,0x2A,0,0.0
1753366579.586036417,73,-19.2,Drive,1,2,0,56.5,3.4,253.4,166.4,3505.8,28,57.5,4.4,0x2A,0,0.0
1753366585.603094591,73,-51.5,Drive,1,75,0,55.5,17.5,560.7,102.4,3505.8,28,57.5,4.4,0x2A,0,0.0
1753366591.315103027,73,-40.2,Drive,1,49,0,55.5,21.1,71.8,384.1,3505.8,28,57.5,4.4,0x2A,0,0.0
1753366597.588070681,73,-47.5,Drive,1,46,0,56.0,21.1,384.1,468.5,3505.8,28,57.5,4.4,0x2A,0,0.0
1753366603.249068335,73,-45.8,Drive,1,49,0,55.5,12.2,384.1,468.5,3505.8,28,57.5,4.4,0x2A,0,0.0
1753366609.623999426,72,-47.2,Drive,1,55,0,55.5,17.5,102.5,158.8,3505.9,28,57.5,4.4,0x2A,0,0.0
1753366615.591043330,72,4.2,Drive,1,15,0,56.0,7.0,332.8,361.0,3505.9,28,57.5,4.4,0x2A,0,0.0
1753366621.252924630,72,-42.8,Drive,1,61,0,55.5,10.5,248.4,335.4,3505.9,28,57.5,4.4,0x2A,0,0.0
1753366627.627217700,72,-28.8,Drive,1,49,0,56.0,14.0,560.7,588.8,3505.9,28,57.5,4.4,0x2A,0,0.0
1753366633.645295563,72,-75.8,Drive,1,63,0,55.5,19.3,15.4,46.1,3505.9,28,57.5,4.4,0x2A,0,0.0
1753366639.663365717,72,12.8,Drive,1,5,0,56.5,21.1,125.5,46.1,3506.0,28,57.5,4.4,0x2A,0,0.0
