timestamp,can_id,dlc,data_hex,data_bytes
1753366823.719798615,19F,8,FF FF 7F BF 38 FF 40 FE,FF FF 7F BF 38 FF 40 FE
1753366823.770904344,19F,8,FF FF 7F AF 38 FF 40 FE,FF FF 7F AF 38 FF 40 FE
1753366823.821866011,5D7,7,01 D2 00 55 9C 80 00,01 D2 00 55 9C 80 00
1753366823.923783198,5D7,7,01 C7 00 55 9C 80 00,01 C7 00 55 9C 80 00
1753366824.025743719,599,8,00 00 0D B2 FF 1F 01 9A,00 00 0D B2 FF 1F 01 9A
1753366824.127421063,599,8,00 00 0D B2 FF 1F 01 B0,00 00 0D B2 FF 1F 01 B0
1753366824.230158563,19F,8,FF FF 80 1F 38 FF 40 FE,FF FF 80 1F 38 FF 40 FE
1753366824.281248719,19F,8,FF FF 7F 1F 38 FF 40 FE,FF FF 7F 1F 38 FF 40 FE
1753366824.739503458,19F,8,FF FF 7F EF 38 FF 40 FE,FF FF 7F EF 38 FF 40 FE
1753366824.790850333,19F,8,FF FF 7F CF 38 FF 40 FE,FF FF 7F CF 38 FF 40 FE
1753366825.300910437,19F,8,FF FF 80 7F 38 FF 40 FE,FF FF 80 7F 38 FF 40 FE
1753366825.759859916,19F,8,FF FF 80 AF 38 FF 40 FE,FF FF 80 AF 38 FF 40 FE
1753366826.269625437,19F,8,FF FF 80 8F 38 FF 40 FE,FF FF 80 8F 38 FF 40 FE
1753366827.303124343,19F,8,FF FF 80 8F 38 FF 40 FE,FF FF 80 8F 38 FF 40 FE
1753366827.303167260,5D7,7,02 62 00 55 9C 80 00,02 62 00 55 9C 80 00
1753366827.303177520,599,8,00 00 0D B2 FF 1F 02 6D,00 00 0D B2 FF 1F 02 6D
1753366827.303187155,599,8,00 00 0D B2 FF 1F 02 62,00 00 0D B2 FF 1F 02 62
1753366827.303202051,19F,8,FF FF 80 7F 38 FF 40 FE,FF FF 80 7F 38 FF 40 FE
1753366827.303593770,19F,8,FF FF 80 7F 38 FF 40 FE,FF FF 80 7F 38 FF 40 FE
1753366827.303651426,19F,8,FF FF 80 6F 38 FF 40 FE,FF FF 80 6F 38 FF 40 FE
1753366827.340274812,19F,8,FF FF 80 6F 38 FF 40 FE,FF FF 80 6F 38 FF 40 FE
1753366827.799597468,19F,8,FF FF 80 5F 38 FF 40 FE,FF FF 80 5F 38 FF 40 FE
1753366827.851160072,19F,8,FF FF 80 4F 38 FF 40 FE,FF FF 80 4F 38 FF 40 FE
1753366828.360292259,19F,8,FF FF 80 6F 38 FF 40 FE,FF FF 80 6F 38 FF 40 FE
1753366828.819550957,19F,8,FF FF 7F CF 38 FF 40 FE,FF FF 7F CF 38 FF 40 FE
1753366828.871134342,19F,8,FF FF 7F AF 38 FF 40 FE,FF FF 7F AF 38 FF 40 FE
1753366828.921862103,5D7,7,01 BC 00 55 9C 80 00,01 BC 00 55 9C 80 00
1753366829.023911321,5D7,7,01 D2 00 55 9C 80 00,01 D2 00 55 9C 80 00
1753366829.125577832,599,8,00 00 0D B2 FF 1F 01 A5,00 00 0D B2 FF 1F 01 A5
1753366829.331581373,19F,8,FF FF 7E FF 38 FF 40 FE,FF FF 7E FF 38 FF 40 FE
1753366829.380630123,19F,8,FF FF 7E DF 38 FF 40 FE,FF FF 7E DF 38 FF 40 FE
1753366829.839570540,19F,8,FF FF 7E 5F 38 FF 40 FE,FF FF 7E 5F 38 FF 40 FE
