timestamp,can_id,dlc,data_hex,lib_speed,manual_speed_le,manual_speed_be,scale_factor,notes
1753366823.719798615,0x19F,8,FF FF 7F BF 38 FF 40 FE,5.2,5.2,5.2,nibble_pack,verified_correct
1753366823.770904344,0x19F,8,FF FF 7F AF 38 FF 40 FE,5.2,5.2,5.2,nibble_pack,verified_correct
1753366823.821866011,0x5D7,7,01 D2 00 55 9C 80 00,537.6,537.6,4.7,div_100,bytes_0_1
1753366823.923783198,0x5D7,7,01 C7 00 55 9C 80 00,509.5,509.5,4.6,div_100,bytes_0_1
1753366824.025743719,0x599,8,00 00 0D B2 FF 1F 01 9A,394.2,394.2,4.1,div_100,bytes_6_7
1753366824.127421063,0x599,8,00 00 0D B2 FF 1F 01 B0,450.6,450.6,4.3,div_100,bytes_6_7
1753366824.230158563,0x19F,8,FF FF 80 1F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366824.281248719,0x19F,8,FF FF 7F 1F 38 FF 40 FE,5.2,5.2,5.2,nibble_pack,verified_correct
1753366824.739503458,0x19F,8,FF FF 7F EF 38 FF 40 FE,5.2,5.2,5.2,nibble_pack,verified_correct
1753366824.790850333,0x19F,8,FF FF 7F CF 38 FF 40 FE,5.2,5.2,5.2,nibble_pack,verified_correct
1753366825.300910437,0x19F,8,FF FF 80 7F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366825.759859916,0x19F,8,FF FF 80 AF 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366826.269625437,0x19F,8,FF FF 80 8F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366827.303124343,0x19F,8,FF FF 80 8F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366827.303167260,0x5D7,7,02 62 00 55 9C 80 00,250.9,250.9,6.1,div_100,bytes_0_1
1753366827.303177520,0x599,8,00 00 0D B2 FF 1F 02 6D,279.1,279.1,6.2,div_100,bytes_6_7
1753366827.303187155,0x599,8,00 00 0D B2 FF 1F 02 62,250.9,250.9,6.1,div_100,bytes_6_7
1753366827.303202051,0x19F,8,FF FF 80 7F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366827.303593770,0x19F,8,FF FF 80 7F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
1753366827.303651426,0x19F,8,FF FF 80 6F 38 FF 40 FE,7.0,7.0,7.0,nibble_pack,verified_correct
