timestamp,can_id,dlc,data_hex,data_bytes
1753459238.218402735,599,8,00 00 0D B4 FF 17 00 00,00 00 0D B4 FF 17 00 00
1753459238.268902840,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459238.320165697,436,6,00 00 01 3C 00 00,00 00 01 3C 00 00
1753459238.371525903,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.422067208,436,6,00 00 01 3C 00 00,00 00 01 3C 00 00
1753459238.472998692,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.524136385,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.575859424,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.626662359,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.677275179,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459238.728497200,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459238.779926837,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459238.830437307,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.881232898,423,8,03 22 FF FF 00 E0 00 DB,03 22 FF FF 00 E0 00 DB
1753459238.932177143,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459238.983858565,423,8,03 22 FF FF 00 E0 00 DB,03 22 FF FF 00 E0 00 DB
1753459239.034908340,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.085898164,423,8,03 22 FF FF 00 E0 00 DB,03 22 FF FF 00 E0 00 DB
1753459239.136848039,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.187411381,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459239.238483450,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459239.289160288,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459239.340283610,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459239.391444226,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.442218153,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459239.493452418,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.544685694,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459239.595473424,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.646920567,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459239.697962999,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459239.748901414,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459239.799890353,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459239.850161127,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.901267521,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459239.952248751,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.003798451,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.054326796,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.105958381,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.156946491,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.207185496,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459240.258023962,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459240.309391365,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459240.360054717,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.411366960,5D7,7,00 00 00 55 A9 C0 00,00 00 00 55 A9 C0 00
1753459240.462403562,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.513338805,5D7,7,00 00 00 55 A9 C0 00,00 00 00 55 A9 C0 00
1753459240.564492601,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.615956520,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.665998482,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459240.716958362,599,8,00 00 0D B4 FF 17 00 00,00 00 0D B4 FF 17 00 00
1753459240.768156484,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459240.819439038,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459240.870550540,628,3,00 00 00,00 00 00
1753459240.921824813,436,6,00 00 01 3C 00 00,00 00 01 3C 00 00
1753459240.972393628,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459241.023853538,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071826659,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071861296,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071866505,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071871557,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.071875932,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.071879943,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.071883693,423,8,03 22 FF FF 00 E0 00 DB,03 22 FF FF 00 E0 00 DB
1753459242.071887443,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071891402,423,8,03 22 FF FF 00 E0 00 DB,03 22 FF FF 00 E0 00 DB
1753459242.071894996,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071898590,423,8,03 22 FF FF 00 E0 00 DB,03 22 FF FF 00 E0 00 DB
1753459242.071902288,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071906038,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071910101,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.071914320,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.071924893,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.071928800,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071932550,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459242.071936144,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.071939946,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459242.094348934,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.145883959,59B,8,20 00 64 00 40 14 00 90,20 00 64 00 40 14 00 90
1753459242.196801396,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.247618932,196,8,00 FF E7 7F 70 55 0B 00,00 FF E7 7F 70 55 0B 00
1753459242.298318649,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.349896020,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.400301553,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.452079873,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.502615414,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.553443523,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.605084127,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.655211259,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.706426162,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459242.757651690,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.808796797,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.859852002,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459242.911111334,5D7,7,00 00 00 55 A9 C0 00,00 00 00 55 A9 C0 00
1753459242.962094453,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459243.013077311,5D7,7,00 00 00 55 A9 C0 00,00 00 00 55 A9 C0 00
1753459243.064077362,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459243.115022357,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459243.166144186,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459243.216080998,19F,8,FF FF 7D 0F 38 FF 40 FE,FF FF 7D 0F 38 FF 40 FE
1753459243.267146313,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459243.318154750,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459243.369307361,155,8,07 97 CE 54 69 68 00 6F,07 97 CE 54 69 68 00 6F
1753459243.420846505,436,6,00 00 01 3C 00 00,00 00 01 3C 00 00
