timestamp,duration_min,start_soc,end_soc,soc_gained,start_energy,end_energy,energy_gained,max_current
1756370845.373796231,5,68,72,4,0.0,0.0,0.0,-0.8
1756371016.541567495,0,72,72,0,4.3,4.3,0.0,-0.8
1756371227.775462557,0,73,73,0,0.0,0.0,0.0,-37.0
1756371247.925742615,0,73,73,0,4.4,4.4,0.0,-1.0
1756371272.788979078,0,73,72,-1,4.4,0.0,-4.4,-46.0
1756371605.136631041,0,68,68,0,0.0,0.0,0.0,-46.5
1756371635.318849822,0,67,67,0,4.1,0.0,-4.1,-8.2
1756371665.502099617,0,67,67,0,4.0,4.0,0.0,-31.5
1756371680.506710575,0,67,67,0,0.0,0.0,0.0,-9.5
1756371705.723701073,0,66,66,0,4.0,4.0,0.0,-30.0
1756371720.787101814,0,66,66,0,0.0,0.0,0.0,-67.5
