timestamp,can_id,dlc,data_hex,data_bytes
1753804023.572663678,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.623762529,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.674895451,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.725958823,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.777040717,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.828164038,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.879159269,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.930248624,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804023.981436226,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804024.032500667,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804024.083527805,423,8,03 24 FF FF 00 E0 00 DD,03 24 FF FF 00 E0 00 DD
1753804024.134622712,5D7,7,FF FF 00 55 B2 40 00,FF FF 00 55 B2 40 00
1753804024.185697846,423,8,03 24 FF FF 00 E0 00 DD,03 24 FF FF 00 E0 00 DD
1753804024.236819881,5D7,7,FF FF 00 55 B2 40 00,FF FF 00 55 B2 40 00
1753804024.287878894,597,8,00 D4 0A B1 2D 00 01 50,00 D4 0A B1 2D 00 01 50
1753804024.338960550,599,8,00 00 0D B6 FF 1E FF FF,00 00 0D B6 FF 1E FF FF
1753804024.390116391,155,8,07 97 CC 54 86 30 00 71,07 97 CC 54 86 30 00 71
1753804024.441201646,599,8,00 00 0D B6 FF 1E FF FF,00 00 0D B6 FF 1E FF FF
1753804024.492287840,155,8,07 97 CD 54 86 30 00 71,07 97 CD 54 86 30 00 71
1753804024.543301518,155,8,07 97 CD 54 86 30 00 71,07 97 CD 54 86 30 00 71
1753804024.594455638,424,8,11 40 13 28 48 64 00 49,11 40 13 28 48 64 00 49
1753804024.645446047,436,6,00 00 01 E3 00 00,00 00 01 E3 00 00
1753804024.696528642,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804024.747725750,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804024.798748609,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804024.849842264,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804024.900887504,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804024.951955126,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.003093021,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.054135866,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.105303623,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.156337368,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.207423904,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.258474916,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.309547889,155,8,07 97 CD 54 86 28 00 71,07 97 CD 54 86 28 00 71
1753804025.360608186,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.411694514,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.462790335,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.513898781,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.564973371,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.616250207,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.667127821,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
1753804025.718189735,155,8,07 97 CC 54 86 28 00 71,07 97 CC 54 86 28 00 71
