timestamp,can_id,dlc,data_hex,data_bytes
1753796890.968471137,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.020969230,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796891.070928783,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.121454123,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796891.172491911,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.223134554,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796891.274476696,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.325723046,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796891.376494661,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.427712780,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.478499396,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.529383158,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.580542260,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.631491706,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.682512669,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.733772094,155,8,07 98 51 54 6C 78 00 70,07 98 51 54 6C 78 00 70
1753796891.784630749,155,8,07 98 51 54 6C 80 00 70,07 98 51 54 6C 80 00 70
1753796891.836524353,155,8,07 98 51 54 6C 80 00 70,07 98 51 54 6C 80 00 70
1753796891.886909783,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796891.938060655,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796891.988638448,5D7,7,FF FF 00 55 B2 40 00,FF FF 00 55 B2 40 00
1753796892.039624876,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.090743974,599,8,00 00 0D B6 FF 18 FF FF,00 00 0D B6 FF 18 FF FF
1753796892.141294109,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.193187504,599,8,00 00 0D B6 FF 18 FF FF,00 00 0D B6 FF 18 FF FF
1753796892.243738055,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.295111293,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.345321549,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.396632646,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.449597817,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.498432204,436,6,00 00 01 6C 00 00,00 00 01 6C 00 00
1753796892.549451605,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.600617270,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.654187711,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.703361143,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.753890129,155,8,07 98 51 54 6C 80 00 70,07 98 51 54 6C 80 00 70
1753796892.804939845,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.856442628,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.906848372,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796892.957631811,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.008709863,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.060227804,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.110448894,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.161521842,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.212688653,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.263639349,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.314687919,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.365594339,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.416654942,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.469220385,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.519402044,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796893.569612144,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.620747493,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796893.671536662,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796893.722572158,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796893.773580464,155,8,07 98 50 54 6C 80 00 70,07 98 50 54 6C 80 00 70
1753796894.816837047,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796894.816896584,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816906116,627,3,00 00 00,00 00 00
1753796894.816912002,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816919555,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816926847,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816933879,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816940911,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816947995,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816955184,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816962320,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816969404,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816976644,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816983624,5D7,7,FF FF 00 55 B2 40 00,FF FF 00 55 B2 40 00
1753796894.816991125,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.816998574,5D7,7,FF FF 00 55 B2 40 00,FF FF 00 55 B2 40 00
1753796894.817005658,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.817012742,599,8,00 00 0D B6 FF 18 FF FF,00 00 0D B6 FF 18 FF FF
1753796894.817020347,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.817027535,599,8,00 00 0D B6 FF 18 FF FF,00 00 0D B6 FF 18 FF FF
1753796894.846423020,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.895903254,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.946876973,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796894.997943097,436,6,00 00 01 6C 00 00,00 00 01 6C 00 00
1753796895.048872645,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.101603886,69F,4,F3 07 61 80,F3 07 61 80
1753796895.151485150,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.202920426,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.252543539,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.304441987,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.356587752,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.406462088,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.456716932,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.508480991,556,8,32 53 24 32 53 25 32 6A,32 53 24 32 53 25 32 6A
1753796895.558673537,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.610120845,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.661033621,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.712586982,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.763477879,155,8,07 98 50 54 6C 88 00 70,07 98 50 54 6C 88 00 70
1753796895.814250849,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796895.864563094,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796895.918069518,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796895.968008340,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.017978884,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796896.068823163,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.119946428,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796896.171237991,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.222244266,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796896.272724601,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.323820311,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796896.374604792,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.426189771,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796896.476906589,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.527807540,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.578858454,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.629988699,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.680856938,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.731867744,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.783728532,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.833862166,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.884884587,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.936513164,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796896.987060277,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.038072542,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.088737167,5D7,7,FF FF 00 55 B2 40 00,FF FF 00 55 B2 40 00
1753796897.139871527,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.190554591,599,8,00 00 0D B6 FF 18 FF FF,00 00 0D B6 FF 18 FF FF
1753796897.242089825,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.292960461,599,8,00 00 0D B6 FF 18 FF FF,00 00 0D B6 FF 18 FF FF
1753796897.343987258,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.395095573,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.446078199,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.496930291,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.547952244,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.599797458,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.650163771,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.701003935,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.752379621,155,8,07 98 50 54 6C 90 00 70,07 98 50 54 6C 90 00 70
1753796897.803113576,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796897.854112975,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796897.904967984,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796897.956431596,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.007162738,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.057821685,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.109124865,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.160411896,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.211144862,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.262682179,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.313022084,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.364303803,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.415346018,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.466347083,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.517114792,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.568695916,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.619018839,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796898.670204194,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.721119574,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796898.772019066,155,8,07 98 50 54 6C 98 00 70,07 98 50 54 6C 98 00 70
1753796898.823234789,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796898.874221842,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796898.925076382,423,8,03 23 FF FF 00 E0 00 DC,03 23 FF FF 00 E0 00 DC
1753796898.976584218,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.027276294,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.078645886,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.129147005,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.185337503,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.232432391,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.281950493,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.333108189,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
1753796899.384442830,155,8,07 98 50 54 6C A0 00 70,07 98 50 54 6C A0 00 70
