timestamp,soc,current,gear,motor_active,accelerator,brake,cap_voltage,motor_speed,odometer,range,battery_voltage,available_energy,charging_status,motor_temp,power_request
1753795985.181031991,65,-1.0,Neutral,1,0,0,55.5,-0.0,3509.1,20,57.5,4.0,0x2A,0,0.0
1753795991.148448515,65,-1.0,Neutral,1,0,0,55.5,-0.0,3509.1,20,57.5,4.0,0x2A,0,0.0
1753795997.116646219,65,-20.2,Drive,1,40,0,55.5,-0.0,3509.1,20,57.5,4.0,0x2A,0,0.0
1753796003.236840549,65,-7.2,Drive,1,48,0,55.5,3.5,3509.2,20,57.5,4.0,0x2A,0,0.0
1753796009.256522035,65,-48.2,Drive,1,24,0,55.5,5.3,3509.2,20,57.5,4.0,0x2A,0,0.0
1753796015.018562621,65,-27.0,Drive,1,47,0,55.5,10.5,3509.2,20,57.5,4.0,0x2A,0,0.0
1753796021.292429697,65,-1.5,Drive,1,35,0,55.5,12.3,3509.2,20,57.5,3.9,0x2A,0,0.0
1753796027.311330453,65,-57.8,Drive,1,79,0,55.0,7.0,3509.2,20,57.5,3.9,0x2A,0,0.0
1753796033.329935201,65,-78.2,Drive,1,52,0,55.0,22.9,3509.2,20,57.5,3.9,0x2A,0,0.0
1753796039.349709124,65,-14.2,Drive,1,27,0,55.5,30.0,3509.3,20,57.5,3.9,0x2A,0,0.0
1753796045.367031411,65,13.5,Drive,1,0,1,55.5,12.3,3509.3,20,57.5,3.9,0x2A,0,0.0
1753796051.383881939,65,-3.0,Drive,1,2,0,55.5,3.5,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796057.402927636,65,-3.0,Drive,1,10,0,55.5,3.5,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796063.369800836,65,-20.0,Drive,1,47,0,55.5,7.0,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796069.388778451,65,-7.2,Drive,1,0,1,55.5,3.5,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796075.407121277,65,-18.5,Drive,1,47,0,55.0,14.1,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796081.170916928,65,-44.0,Drive,1,49,0,55.0,19.4,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796087.445127132,65,-42.8,Drive,1,36,0,55.0,21.1,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796093.463043963,65,-21.5,Drive,1,37,0,55.0,21.1,3509.4,20,57.5,3.9,0x2A,0,0.0
1753796099.481502171,65,-13.5,Drive,1,25,0,55.5,15.8,3509.5,21,57.5,3.9,0x2A,0,0.0
1753796105.500559775,65,-33.2,Drive,1,41,0,55.0,21.1,3509.5,21,57.5,3.9,0x2A,0,0.0
1753796108.918147753,65,-2.0,Drive,1,38,0,55.5,26.4,3509.6,21,57.5,3.9,0x2A,0,0.0
1753796117.537939378,65,2.0,Drive,1,0,1,55.5,3.5,3509.6,21,57.5,3.9,0x2A,0,0.0
1753796123.504700659,65,6.8,Drive,1,74,0,55.0,10.5,3509.6,21,57.5,3.9,0x2A,0,0.0
1753796129.573571682,65,-7.5,Drive,1,27,0,55.5,17.6,3509.7,21,57.5,3.9,0x2A,0,0.0
1753796135.183569792,65,-2.0,Drive,1,19,0,55.5,19.4,3509.7,21,57.5,3.9,0x2A,0,0.0
1753796141.610734284,65,-7.2,Drive,1,12,0,55.5,21.1,3509.7,21,57.5,3.9,0x2A,0,0.0
1753796147.629377243,65,25.2,Drive,1,0,0,56.0,19.4,3509.7,21,57.5,3.9,0x2A,0,0.0
1753796153.648509519,65,-14.2,Drive,1,5,0,55.5,3.5,3509.8,21,57.5,3.9,0x2A,0,0.0
1753796157.473902591,64,-11.5,Drive,1,68,0,54.5,21.1,3509.8,21,57.5,3.9,0x2A,0,0.0
1753796165.225956798,64,26.8,Drive,1,0,1,56.0,17.6,3509.8,21,57.5,3.9,0x2A,0,0.0
1753796171.704459215,64,4.8,Drive,1,6,0,55.5,5.3,3509.9,21,57.5,3.9,0x2A,0,0.0
1753796177.671519151,64,-50.2,Drive,1,69,0,55.0,8.8,3509.9,21,57.5,3.9,0x2A,0,0.0
1753796183.740590702,64,-38.2,Drive,1,56,0,54.5,24.7,3509.9,21,57.5,3.9,0x2A,0,0.0
1753796189.657303847,64,-7.0,Drive,1,26,0,55.5,19.4,3509.9,21,57.5,3.9,0x2A,0,0.0
1753796190.788922057,64,-9.2,Drive,1,0,1,55.5,15.8,3510.0,21,57.5,3.9,0x2A,0,0.0
1753796201.795831295,64,-9.2,Drive,1,13,0,55.5,3.5,3510.0,24,57.5,3.9,0x2A,0,0.0
1753796207.457093308,64,-17.2,Drive,1,62,0,55.0,15.8,3510.0,24,57.5,3.9,0x2A,0,0.0
1753796212.659704427,64,-20.2,Drive,1,41,0,55.0,15.8,3510.1,24,57.5,3.9,0x2A,0,0.0
1753796219.800513818,64,-21.5,Drive,1,26,0,55.5,17.6,3510.1,24,57.5,3.9,0x2A,0,0.0
1753796225.870341400,64,6.2,Drive,1,52,0,55.0,10.5,3510.1,24,57.5,3.9,0x2A,0,0.0
1753796231.582684423,64,-0.5,Drive,1,27,0,55.5,5.3,3510.1,24,57.5,3.9,0x2A,0,0.0
1753796237.652438914,64,-21.2,Drive,1,10,0,55.5,1.7,3510.1,24,57.5,3.9,0x2A,0,0.0
1753796239.182969037,64,-1.5,Drive,1,1,0,55.5,-0.0,3510.1,24,57.5,3.9,0x2A,0,0.0
