timestamp,can_id,dlc,data_hex,data_bytes
1754308844.513174375,69F,4,F3 07 61 80,F3 07 61 80
1754308844.563321410,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.614490025,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.665632859,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.716608242,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.767301693,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.818861409,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.870517793,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.920705141,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308844.971855631,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.024269477,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.073894471,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.125352050,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308845.176072585,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308845.227157813,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.277569801,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.330710274,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.379638954,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.430598764,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.482108218,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.532827347,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308845.584028463,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308845.634861499,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.686077303,556,8,33 83 37 33 83 38 33 9A,33 83 37 33 83 38 33 9A
1754308845.736546427,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.788084476,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308845.838868658,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308845.889557160,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.940724265,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308845.991626053,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308846.042671489,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308846.093877189,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308846.144552879,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308846.196117387,5D7,7,FF FF 00 57 6E 40 00,FF FF 00 57 6E 40 00
1754308846.246917610,423,8,03 2C FF FF 00 E0 00 E3,03 2C FF FF 00 E0 00 E3
1754308846.298258416,5D7,7,FF FF 00 57 6E 40 00,FF FF 00 57 6E 40 00
1754308846.349265362,423,8,03 2C FF FF 00 E0 00 E3,03 2C FF FF 00 E0 00 E3
1754308846.400461166,5D7,7,FF FF 00 57 6E 40 00,FF FF 00 57 6E 40 00
1754308846.451212274,423,8,03 2C FF FF 00 E0 00 E3,03 2C FF FF 00 E0 00 E3
1754308846.504541500,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308846.553106163,423,8,03 2C FF FF 00 E0 00 E3,03 2C FF FF 00 E0 00 E3
1754308846.603338981,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308846.654413741,426,7,00 38 01 00 0D FD 00,00 38 01 00 0D FD 00
1754308846.706217992,436,6,00 00 00 FD 00 00,00 00 00 FD 00 00
