timestamp,can_id,dlc,data_hex,data_bytes
1754308839.413237413,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.463746381,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.514741712,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.565548654,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.617022379,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.667380668,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.718585690,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.769735451,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.820576508,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.871973304,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.922764569,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308839.974178501,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.024581270,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.076306822,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.126525681,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.177392937,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.229258022,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.279930327,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.330785447,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.381623796,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.432841266,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.483726335,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.534244157,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.585337615,554,8,47 46 45 45 45 45 46 00,47 46 45 45 45 45 46 00
1754308840.636541283,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.688015789,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.738441371,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
1754308840.789883324,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.840789851,155,8,00 97 CF 54 9B 78 00 73,00 97 CF 54 9B 78 00 73
1754308840.891752213,155,8,00 97 D0 54 9B 78 00 73,00 97 D0 54 9B 78 00 73
